SKU,Nombre,Codigo_Barras,Categoria,Precio_Compra,Precio_Venta,Stock,Stock_Minimo
SKU-0001,Arroz Grano Largo (Clásico),780000000001,Abarrotes,950,1490,62,7
SKU-0002,Aceite Vegetal 900ml (Selección),780000000002,Abarrotes,1470,2300,81,14
SKU-0003,Fideos Spaghetti 400g (Especial),780000000003,Abarrotes,715,1199,45,7
SKU-0004,Harina sin Polvos 1kg (Familiar),780000000004,Abarrotes,977,1598,22,9
SKU-0005,Azúcar Blanca 1kg (Premium),780000000005,Abarrotes,1080,1740,31,12
SKU-0006,Sal Fina de Mesa 1kg (Económico),780000000006,Abarrotes,563,988,22,9
SKU-0007,Salsa de Tomate 200g (Natural),780000000007,Abarrotes,494,845,24,6
SKU-0008,Atún en Lomitos al Agua 160g (Cremoso),780000000008,Abarrotes,1337,2147,49,10
SKU-0009,Lentejas 4mm 1kg (Doble),780000000009,Abarrotes,2240,3486,44,14
SKU-0010,Porotos Tórtola 1kg (Sur),780000000010,Abarrotes,2610,4046,94,12
SKU-0011,Bebida Cola 1.5L (Clásico),780000000011,Bebidas y Jugos,1100,1790,26,9
SKU-0012,Bebida Naranja 1.5L (Selección),780000000012,Bebidas y Jugos,1155,1880,71,9
SKU-0013,Bebida Lima Limón 1.5L (Especial),780000000013,Bebidas y Jugos,1210,1969,23,10
SKU-0014,Jugo Naranja 1L Caja (Familiar),780000000014,Bebidas y Jugos,1093,1713,94,9
SKU-0015,Jugo Durazno 1L Caja (Premium),780000000015,Bebidas y Jugos,1140,1788,37,6
SKU-0016,Agua Mineral sin Gas 1.5L (Económico),780000000016,Bebidas y Jugos,813,1363,80,12
SKU-0017,Agua Mineral con Gas 1.5L (Natural),780000000017,Bebidas y Jugos,845,1417,51,6
SKU-0018,Bebida Energética 250ml (Cremoso),780000000018,Bebidas y Jugos,1215,2147,84,13
SKU-0019,Cerveza Lager 330cc Pack 6 (Doble),780000000019,Bebidas y Jugos,6300,9786,16,7
SKU-0020,Cerveza Artesanal 330cc Pack 6 (Sur),780000000020,Bebidas y Jugos,8410,13036,73,8
SKU-0021,Leche Entera 1L Tetra (Clásico),780000000021,Lácteos y Quesos,850,1290,93,14
SKU-0022,Leche Descremada 1L (Selección),780000000022,Lácteos y Quesos,893,1355,74,8
SKU-0023,Queso Gauda Laminado 500g (Especial),780000000023,Lácteos y Quesos,3520,5489,44,9
SKU-0024,Queso Mantecoso Trozo 500g (Familiar),780000000024,Lácteos y Quesos,4140,6313,78,13
SKU-0025,Mantequilla con Sal 250g (Premium),780000000025,Lácteos y Quesos,2100,3228,25,14
SKU-0026,Yogurt Batido Vainilla 120g (Económico),780000000026,Lácteos y Quesos,350,563,71,5
SKU-0027,Yogurt Frutilla 120g (Natural),780000000027,Lácteos y Quesos,364,585,61,9
SKU-0028,Crema de Leche 200ml (Cremoso),780000000028,Lácteos y Quesos,1080,1742,19,7
SKU-0029,Manjar Tradicional 400g (Doble),780000000029,Lácteos y Quesos,1820,2786,87,9
SKU-0030,Quesillo Fresco 300g (Sur),780000000030,Lácteos y Quesos,2175,3321,31,12
SKU-0031,Papas Fritas Lisas 200g (Clásico),780000000031,Snacks y Dulces,1200,1890,42,14
SKU-0032,Galletas de Chocolate 130g (Selección),780000000032,Snacks y Dulces,683,1040,61,13
SKU-0033,Galletas de Agua 180g (Especial),780000000033,Snacks y Dulces,660,979,76,6
